Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743031593812,2904,2904,2904,2904,2904,2904,31.034507751464844,78.00216674804688,55.983577728271484,28.154762268066406,50.983619689941406,39.40467834472656,1863.0260620117188,18576.562622070313,17562.174682617188,83.9241943359375,17026772992,10317840384,7036219392,0
200,1743031593813,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,1863.03173828125,18576.612243652344,17562.23846435547,83.9241943359375,17026772992,10317840384,7036559360,0
200,1743031594013,2904,2904,2904,2904,2904,2904,13.212898254394531,79.11572265625,11.841506958007813,6.171661376953125,6.966011047363281,4.713157653808594,1863.2200927734375,18579.76300048828,17565.285583496094,83.9241943359375,17026772992,10317840384,7052550144,0
200,1743031594213,2904,2904,2904,2904,2904,2904,33.53990173339844,65.43055725097656,14.004203796386719,24.805999755859375,8.643478393554688,14.056999206542969,1863.43359375,18583.808532714844,17569.2333984375,83.9241943359375,17026772992,10317840384,7073255424,0
200,1743031594414,2904,2904,2904,2904,2904,2904,3.3087615966796875,47.93650436401367,5.6595458984375,2.240081787109375,7.186454772949219,1.1879196166992188,1863.5991821289063,18585.67218017578,17570.996704101563,83.93280029296875,17026772992,10317840384,7074336768,0
199,1743031594614,2904,2904,2904,2904,2904,2904,13.219329833984375,14.645439147949219,4.865989685058594,3.8448562622070313,0.6161956787109375,2.2906417846679688,1863.8060302734375,18586.8251953125,17572.051513671875,83.93280029296875,17026772992,10317840384,7073611776,0
200,1743031594814,2904,2904,2904,2904,2904,2904,22.44709014892578,26.26421356201172,10.177810668945313,2.9503021240234375,8.087539672851563,1.09112548828125,1864.0370483398438,18588.643615722656,17573.744140625,83.93280029296875,17026772992,10317840384,7073607680,0
199,1743031595015,2904,2904,2904,2904,2904,2904,62.281089782714844,58.071380615234375,48.39707565307617,44.8458366394043,79.59778594970703,60.59470748901367,1864.3499755859375,18595.62615966797,17580.579528808594,83.95233154296875,17026772992,10317840384,7086682112,0
200,1743031595215,2904,2904,2904,2904,2904,2904,50.102928161621094,24.546363830566406,15.104995727539063,17.932167053222656,40.846920013427734,28.028419494628906,1864.623046875,18599.76824951172,17584.5830078125,83.96539306640625,17026772992,10317840384,7078109184,0
200,1743031595415,2904,2904,2904,2904,2904,2904,28.024391174316406,24.74669647216797,16.044517517089844,12.978561401367188,20.348976135253906,22.05168914794922,1864.877197265625,18602.711975097656,17587.367431640625,83.97369384765625,17026772992,10317840384,7087882240,0
200,1743031595616,2904,2904,2904,2904,2904,2904,21.468528747558594,25.41645050048828,6.101287841796875,4.618568420410156,1.9585800170898438,1.4449844360351563,1865.1060791015625,18604.33905029297,17588.874450683594,83.97369384765625,17026772992,10317840384,7084683264,0
200,1743031595816,2904,2904,2904,2904,2904,2904,21.31652069091797,23.642677307128906,8.027961730957031,2.6273269653320313,1.7940597534179688,0.8719482421875,1865.3294067382813,18605.87921142578,17590.30450439453,83.9749755859375,17026772992,10317840384,7084683264,0
200,1743031596016,2904,2904,2904,2904,2904,2904,24.17658233642578,24.79827880859375,7.140296936035156,2.1780776977539063,2.9367599487304688,0.41449737548828125,1865.5621337890625,18607.5712890625,17591.86700439453,83.9766845703125,17026772992,10317840384,7084052480,0
200,1743031596217,2904,2904,2904,2904,2904,2904,11.233184814453125,70.646240234375,6.268714904785156,2.2565383911132813,2.054962158203125,2.6979446411132813,1865.7520141601563,18610.327697753906,17594.528686523438,83.98150634765625,17026772992,10317840384,7085191168,0
200,1743031596417,2904,2904,2904,2904,2904,2904,2.5785140991210938,100,3.216766357421875,0.9080581665039063,0.5302734375,1.113037109375,1865.8970947265625,18613.530883789063,17597.634826660156,83.98150634765625,17026772992,10317840384,7085416448,0
200,1743031596617,2904,2904,2904,2904,2904,2904,4.938079833984375,16.99376678466797,4.5011444091796875,1.5401153564453125,0.8126220703125,1.6770172119140625,1866.0689086914063,18614.482971191406,17598.5078125,83.98150634765625,17026772992,10317840384,7084556288,0
199,1743031596818,2904,2904,2904,2904,2904,2904,16.072067260742188,20.053504943847656,7.631805419921875,2.1964569091796875,1.7313766479492188,1.8793869018554688,1866.2940063476563,18615.82830810547,17599.733764648438,83.98150634765625,17026772992,10317840384,7084535808,0
199,1743031597018,2904,2904,2904,2904,2904,2904,18.991470336914063,22.544769287109375,7.669647216796875,2.4241180419921875,1.0761337280273438,1.033477783203125,1866.5200805664063,18617.37286376953,17601.154235839844,83.985595703125,17026772992,10317840384,7082967040,0
200,1743031597218,2904,2904,2904,2904,2904,2904,21.047264099121094,23.614608764648438,37.039207458496094,4.8137969970703125,2.0295639038085938,1.4580917358398438,1866.7476806640625,18619.73486328125,17603.38494873047,83.985595703125,17026772992,10317840384,7087063040,0
200,1743031597419,2904,2904,2904,2904,2904,2904,20.22265625,25.176666259765625,7.285758972167969,2.6124038696289063,1.6865921020507813,0.6784286499023438,1866.97412109375,18621.273193359375,17604.805053710938,83.98956298828125,17026772992,10317840384,7087063040,0
200,1743031597619,2904,2904,2904,2904,2904,2904,21.958450317382813,23.469093322753906,7.175163269042969,5.342887878417969,4.5953216552734375,1.3250885009765625,1867.208251953125,18622.975646972656,17606.37969970703,83.98956298828125,17026772992,10317840384,7084896256,0
200,1743031597820,2904,2904,2904,2904,2904,2904,21.92823028564453,26.709678649902344,7.068939208984375,2.5467605590820313,2.0781784057617188,1.3223114013671875,1867.4405517578125,18624.55548095703,17607.833557128906,83.98956298828125,17026772992,10317840384,7084896256,0
200,1743031598020,2904,2904,2904,2904,2904,2904,20.60517120361328,24.59557342529297,7.6406402587890625,3.5399703979492188,0.44927215576171875,0.8351669311523438,1867.6751098632813,18626.23162841797,17609.38494873047,83.99310302734375,17026772992,10317840384,7081381888,0
200,1743031598221,2904,2904,2904,2904,2904,2904,10.013175964355469,52.54425048828125,18.619911193847656,1.5601959228515625,1.6386642456054688,0.9107437133789063,1867.8639526367188,18628.654724121094,17611.71466064453,84.00006103515625,17026772992,10317840384,7079706624,0
200,1743031598421,2904,2904,2904,2904,2904,2904,1.5886688232421875,9.448234558105469,81.01637268066406,1.5675506591796875,0.5995635986328125,3.1092376708984375,1868.01953125,18631.513427734375,17614.46923828125,84.00006103515625,17026772992,10317840384,7079768064,0
200,1743031598622,2904,2904,2904,2904,2904,2904,7.9518585205078125,14.549827575683594,6.6234893798828125,4.7129974365234375,2.6686630249023438,3.402862548828125,1868.2188110351563,18632.631713867188,17615.49169921875,84.00006103515625,17026772992,10317840384,7084642304,0
200,1743031598822,2904,2904,2904,2904,2904,2904,18.973472595214844,30.357528686523438,11.484352111816406,2.8092498779296875,5.0840911865234375,2.0155563354492188,1868.4429931640625,18634.4482421875,17617.182739257813,84.00006103515625,17026772992,10317840384,7084646400,0
200,1743031599023,2904,2904,2904,2904,2904,2904,18.57178497314453,35.20198059082031,12.57666015625,1.8285446166992188,1.5363388061523438,0.5942459106445313,1868.6732788085938,18636.415405273438,17619.039184570313,84.0025634765625,17026772992,10317840384,7084503040,0
200,1743031599224,2904,2904,2904,2904,2904,2904,19.6417236328125,34.61836242675781,13.675155639648438,2.4192733764648438,2.5420455932617188,0.7939987182617188,1868.9054565429688,18638.434631347656,17620.929565429688,84.0025634765625,17026772992,10317840384,7084470272,0
200,1743031599424,2904,2904,2904,2904,2904,2904,17.069549560546875,27.72753143310547,8.379776000976563,4.44940185546875,1.0987625122070313,1.4850997924804688,1869.1234741210938,18640.074340820313,17622.4521484375,84.0025634765625,17026772992,10317840384,7084470272,0
200,1743031599624,2904,2904,2904,2904,2904,2904,22.475425720214844,37.56158447265625,7.2534027099609375,6.343772888183594,1.2058639526367188,1.9028778076171875,1869.354248046875,18642.146118164063,17624.406372070313,84.00592041015625,17026772992,10317840384,7082565632,0
200,1743031599825,2904,2904,2904,2904,2904,2904,20.26190185546875,34.32190704345703,7.690849304199219,5.408851623535156,2.9603347778320313,1.9735031127929688,1869.5780029296875,18643.988525390625,17626.12957763672,84.00592041015625,17026772992,10317840384,7082565632,0
200,1743031600025,2904,2904,2904,2904,2904,2904,20.230056762695313,32.853477478027344,6.786285400390625,1.0555953979492188,0.6131744384765625,1.0577163696289063,1869.8017578125,18645.822387695313,17627.841735839844,84.00592041015625,17026772992,10317840384,7082143744,0
200,1743031600226,2904,2904,2904,2904,2904,2904,25.538360595703125,52.519046783447266,13.964332580566406,9.728103637695313,8.285789489746094,4.791374206542969,1870.025146484375,18648.661499023438,17630.552734375,84.01837158203125,17026772992,10317840384,7085826048,0
200,1743031600426,2904,2904,2904,2904,2904,2904,12.75848388671875,13.029670715332031,5.3048095703125,3.1099014282226563,1.7669601440429688,0.530792236328125,1870.2359619140625,18649.742309570313,17631.52752685547,84.01837158203125,17026772992,10317840384,7082672128,0
