Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743030592408,2904,2904,2904,2904,2904,2904,58.97810745239258,73.3082046508789,41.58415985107422,38.1451530456543,25.719863891601563,26.157691955566406,892.2092895507813,12002.493103027344,11513.74609375,68.05413818359375,17026772992,10317840384,6940164096,0
200,1743030592409,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,892.212890625,12002.539123535156,11513.808898925781,68.05413818359375,17026772992,10317840384,6939967488,0
200,1743030592609,2904,2904,2904,2904,2904,2904,9.522590637207031,80.69629669189453,13.332359313964844,11.583946228027344,4.28192138671875,6.679710388183594,892.4056396484375,12005.880920410156,11517.051147460938,68.05584716796875,17026772992,10317840384,6956945408,0
200,1743030592809,2904,2904,2904,2904,2904,2904,9.155647277832031,74.6750259399414,13.586311340332031,6.904991149902344,5.434989929199219,6.2477569580078125,892.5968627929688,12009.226989746094,11520.303588867188,68.05584716796875,17026772992,10317840384,6968037376,0
200,1743030593010,2904,2904,2904,2904,2904,2904,3.1713485717773438,53.31023406982422,3.90631103515625,2.2966537475585938,0.5457077026367188,2.956634521484375,892.7631225585938,12011.174743652344,11522.150939941406,68.0643310546875,17026772992,10317840384,6968737792,0
200,1743030593210,2904,2904,2904,2904,2904,2904,14.451995849609375,13.739143371582031,3.9331283569335938,1.8673934936523438,0.69317626953125,0.5191574096679688,892.9703979492188,12012.259643554688,11523.122375488281,68.0643310546875,17026772992,10317840384,6968225792,0
200,1743030593410,2904,2904,2904,2904,2904,2904,18.784286499023438,20.243247985839844,6.7950897216796875,2.2008514404296875,1.6920928955078125,4.317527770996094,893.2001342773438,12013.712768554688,11524.469970703125,68.0643310546875,17026772992,10317840384,6972272640,0
199,1743030593610,2904,2904,2904,2904,2904,2904,59.00090408325195,58.22114944458008,53.225914001464844,53.50584030151367,81.9583740234375,54.67531967163086,893.5164184570313,12020.914916992188,11531.509399414063,68.08538818359375,17026772992,10317840384,6982524928,0
200,1743030593811,2904,2904,2904,2904,2904,2904,43.86606979370117,39.325843811035156,28.334510803222656,37.73755645751953,21.745346069335938,16.587684631347656,893.7867431640625,12025.420349121094,11535.874816894531,68.09674072265625,17026772992,10317840384,6971940864,0
199,1743030594011,2904,2904,2904,2904,2904,2904,22.18634033203125,29.146949768066406,15.606407165527344,8.142684936523438,49.05519104003906,23.233139038085938,894.0278930664063,12028.940124511719,11539.291625976563,68.106201171875,17026772992,10317840384,6984781824,0
200,1743030594211,2904,2904,2904,2904,2904,2904,41.28510665893555,51.69422912597656,49.390377044677734,42.946353912353516,22.547760009765625,32.029808044433594,894.3185424804688,12034.212829589844,11544.40869140625,68.10894775390625,17026772992,10317840384,6982668288,0
200,1743030594411,2904,2904,2904,2904,2904,2904,18.172439575195313,23.543067932128906,57.528717041015625,6.733131408691406,2.1997909545898438,9.587257385253906,894.5364990234375,12037.060485839844,11547.130615234375,68.10894775390625,17026772992,10317840384,6997999616,0
