Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743030244456,2904,2904,2904,2904,2904,2904,0,17.13774871826172,45.417110443115234,0,0,0,527.8331298828125,8669.0263671875,8377.296508789063,56.11798095703125,17026772992,10317840384,7161470976,0
199,1743030244456,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,527.8389892578125,8669.116516113281,8377.379943847656,56.11798095703125,17026772992,10317840384,7162875904,0
199,1743030244656,2904,2904,2904,2904,2904,2904,29.26043701171875,53.001182556152344,20.23625946044922,22.23621368408203,22.190643310546875,29.273422241210938,528.0582275390625,8673.156616210938,8381.296752929688,56.120361328125,17026772992,10317840384,7184429056,0
200,1743030244857,2904,2904,2904,2904,2904,2904,20.39849090576172,55.99198532104492,9.526077270507813,11.450736999511719,9.141616821289063,9.283149719238281,528.2545776367188,8676.556884765625,8384.606079101563,56.120361328125,17026772992,10317840384,7189635072,0
200,1743030245057,2904,2904,2904,2904,2904,2904,4.564056396484375,26.796066284179688,46.37062454223633,4.6019439697265625,4.325347900390625,5.276664733886719,528.42919921875,8679.031982421875,8386.993408203125,56.1234130859375,17026772992,10317840384,7202852864,0
200,1743030245258,2904,2904,2904,2904,2904,2904,11.850875854492188,10.833305358886719,3.6518173217773438,2.29437255859375,1.7426300048828125,2.7168960571289063,528.6373291015625,8680.124877929688,8387.966979980469,56.1234130859375,17026772992,10317840384,7204175872,0
200,1743030245458,2904,2904,2904,2904,2904,2904,24.43541717529297,19.5009765625,7.3235931396484375,5.781646728515625,5.761909484863281,3.7341537475585938,528.8701171875,8681.899841308594,8389.623596191406,56.1234130859375,17026772992,10317840384,7201611776,0
200,1743030245658,2904,2904,2904,2904,2904,2904,69.75225067138672,67.14640808105469,60.1036262512207,59.42466354370117,82.95647430419922,65.56077575683594,529.2476196289063,8689.824340820313,8397.395263671875,56.14434814453125,17026772992,10317840384,7199391744,0
200,1743030245859,2904,2904,2904,2904,2904,2904,38.30206298828125,26.325424194335938,13.137107849121094,7.858436584472656,29.726699829101563,21.55078887939453,529.4891967773438,8693.294494628906,8400.726013183594,56.15594482421875,17026772992,10317840384,7206801408,0
200,1743030246059,2904,2904,2904,2904,2904,2904,29.485939025878906,23.693130493164063,7.567665100097656,7.7268829345703125,12.172126770019531,25.548416137695313,529.7210693359375,8695.756896972656,8403.057434082031,56.1591796875,17026772992,10317840384,7204380672,0
200,1743030246260,2904,2904,2904,2904,2904,2904,22.774246215820313,20.923675537109375,3.5524978637695313,1.383026123046875,0.49322509765625,1.8671340942382813,529.9427490234375,8697.195678710938,8404.389221191406,56.16131591796875,17026772992,10317840384,7203860480,0
200,1743030246460,2904,2904,2904,2904,2904,2904,22.788475036621094,22.089431762695313,4.48736572265625,5.3999786376953125,2.9600372314453125,2.5750198364257813,530.1669311523438,8698.821960449219,8405.891418457031,56.16131591796875,17026772992,10317840384,7188885504,0
200,1743030246661,2904,2904,2904,2904,2904,2904,24.110939025878906,20.41175079345703,8.425949096679688,5.498779296875,4.506004333496094,3.3040313720703125,530.396728515625,8700.509033203125,8407.456665039063,56.16131591796875,17026772992,10317840384,7187791872,0
200,1743030246861,2904,2904,2904,2904,2904,2904,22.32685089111328,21.802268981933594,5.490478515625,3.3748626708984375,1.1082992553710938,3.1363906860351563,530.6195678710938,8702.078125,8408.91455078125,56.1629638671875,17026772992,10317840384,7187001344,0
200,1743030247062,2904,2904,2904,2904,2904,2904,22.94788360595703,23.138778686523438,5.9990997314453125,2.8509750366210938,1.3473434448242188,1.2057418823242188,530.8433227539063,8703.535888671875,8410.258178710938,56.1629638671875,17026772992,10317840384,7186509824,0
200,1743030247263,2904,2904,2904,2904,2904,2904,18.173301696777344,27.593666076660156,11.063186645507813,4.060516357421875,3.7204971313476563,0.28466033935546875,531.0567626953125,8705.477233886719,8412.088317871094,56.16424560546875,17026772992,10317840384,7185731584,0
200,1743030247463,2904,2904,2904,2904,2904,2904,2.5576095581054688,86.9532241821289,4.78662109375,1.8915939331054688,12.629241943359375,4.243400573730469,531.2117919921875,8708.770446777344,8415.303100585938,56.16424560546875,17026772992,10317840384,7184166912,0
200,1743030247664,2904,2904,2904,2904,2904,2904,3.8838729858398438,33.015625,2.1255950927734375,1.4305648803710938,1.0472564697265625,19.333572387695313,531.3763427734375,8710.58642578125,8417.016723632813,56.16424560546875,17026772992,10317840384,7188369408,0
200,1743030247864,2904,2904,2904,2904,2904,2904,9.572593688964844,11.800918579101563,4.037178039550781,2.7736663818359375,0.9300765991210938,1.653045654296875,531.5799560546875,8711.52294921875,8417.841247558594,56.1668701171875,17026772992,10317840384,7187660800,0
200,1743030248065,2904,2904,2904,2904,2904,2904,19.259353637695313,20.04969024658203,4.5163421630859375,2.9906539916992188,1.6275787353515625,1.905853271484375,531.8101196289063,8712.871826171875,8419.08642578125,56.1668701171875,17026772992,10317840384,7186976768,0
200,1743030248265,2904,2904,2904,2904,2904,2904,19.744735717773438,20.43170166015625,4.368354797363281,1.5013809204101563,0.7148361206054688,0.7953338623046875,532.0389404296875,8714.293212890625,8420.392211914063,56.1668701171875,17026772992,10317840384,7186235392,0
200,1743030248466,2904,2904,2904,2904,2904,2904,18.8997802734375,20.968170166015625,6.143348693847656,4.097694396972656,0.538970947265625,0.8836212158203125,532.2655029296875,8715.756713867188,8421.726684570313,56.17041015625,17026772992,10317840384,7185154048,0
200,1743030248666,2904,2904,2904,2904,2904,2904,22.27545928955078,21.163597106933594,6.8696136474609375,3.2273101806640625,1.6819915771484375,3.7181777954101563,532.4885864257813,8717.297424316406,8423.16015625,56.17041015625,17026772992,10317840384,7187640320,0
200,1743030248867,2904,2904,2904,2904,2904,2904,22.203697204589844,21.52471923828125,4.974517822265625,2.3340530395507813,0.6404800415039063,11.452430725097656,532.716796875,8719.037414550781,8424.769714355469,56.17291259765625,17026772992,10317840384,7188201472,0
200,1743030249068,2904,2904,2904,2904,2904,2904,24.71710205078125,21.917160034179688,6.950950622558594,3.0223770141601563,1.7068862915039063,24.059226989746094,532.9388427734375,8721.049377441406,8426.669372558594,56.17291259765625,17026772992,10317840384,7188729856,0
