Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743035600207,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,6408.785888671875,75360.75659179688,71845.7533569336,409.229736328125,17026772992,10317840384,6448177152,0
200,1743035600207,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,6408.79150390625,75360.84051513672,71845.8193359375,409.229736328125,17026772992,10317840384,6448324608,0
200,1743035600408,2904,2904,2904,2904,2904,2904,48.822669982910156,43.90647506713867,14.044319152832031,12.380989074707031,11.593948364257813,6.73822021484375,6408.980224609375,75364.20458984375,71849.09326171875,409.229736328125,17026772992,10317840384,6474477568,0
200,1743035600608,2904,2904,2904,2904,2904,2904,6.316520690917969,48.712520599365234,15.714126586914063,25.99372100830078,13.62506103515625,8.625701904296875,6409.1741943359375,75367.60662841797,71852.40521240234,409.229736328125,17026772992,10317840384,6486466560,0
200,1743035600808,2904,2904,2904,2904,2904,2904,12.636741638183594,63.8861198425293,18.971298217773438,6.8229522705078125,12.564674377441406,9.624702453613281,6409.367370605469,75371.16119384766,71855.86993408203,409.232421875,17026772992,10317840384,6508466176,0
200,1743035601008,2904,2904,2904,2904,2904,2904,10.657012939453125,69.34843444824219,13.361129760742188,8.845451354980469,8.934791564941406,21.50146484375,6409.5784912109375,75374.7944946289,71859.38537597656,409.232421875,17026772992,10317840384,6540337152,0
199,1743035601208,2904,2904,2904,2904,2904,2904,36.76206588745117,38.73777770996094,5.235328674316406,3.3178787231445313,29.281211853027344,0.569488525390625,6409.751159667969,75378.1889038086,71862.70251464844,409.234619140625,17026772992,10317840384,6543405056,0
199,1743035601408,2904,2904,2904,2904,2904,2904,72.1898422241211,79.35470581054688,57.33564758300781,58.19411087036133,63.513038635253906,60.16361618041992,6410.074035644531,75385.9750366211,71870.34692382813,409.24951171875,17026772992,10317840384,6571499520,0
199,1743035601608,2904,2904,2904,2904,2904,2904,39.64573287963867,77.48513793945313,25.595558166503906,13.186248779296875,23.213882446289063,61.66317367553711,6410.359069824219,75391.57940673828,71875.830078125,409.25994873046875,17026772992,10317840384,6559232000,0
200,1743035601808,2904,2904,2904,2904,2904,2904,14.703880310058594,64.55435180664063,12.394683837890625,3.7874755859375,32.835838317871094,19.57324981689453,6410.566345214844,75395.34075927734,71879.47290039063,409.26739501953125,17026772992,10317840384,6586187776,0
200,1743035602009,2904,2904,2904,2904,2904,2904,2.1027908325195313,4.544647216796875,2.2455902099609375,47.53195571899414,53.99090576171875,3.7490005493164063,6410.733947753906,75398.66009521484,71882.71697998047,409.26739501953125,17026772992,10317840384,6619508736,0
200,1743035602210,2904,2904,2904,2904,2904,2904,8.136741638183594,10.080795288085938,2.5191802978515625,57.36237716674805,2.4063568115234375,34.405860900878906,6410.9251708984375,75401.97912597656,71885.93762207031,409.2681884765625,17026772992,10317840384,6652264448,0
199,1743035602410,2904,2904,2904,2904,2904,2904,11.580245971679688,7.5504150390625,3.129913330078125,3.0775070190429688,3.0975494384765625,87.05561828613281,6411.1358642578125,75405.22229003906,71889.06787109375,409.26959228515625,17026772992,10317840384,6672121856,0
200,1743035602610,2904,2904,2904,2904,2904,2904,14.852310180664063,10.443901062011719,2.392486572265625,3.75616455078125,2.396881103515625,83.6294174194336,6411.322082519531,75408.56945800781,71892.32318115234,409.2742919921875,17026772992,10317840384,6675030016,0
200,1743035602811,2904,2904,2904,2904,2904,2904,14.262359619140625,8.206169128417969,5.2529449462890625,2.7450103759765625,10.754791259765625,85.1943588256836,6411.511413574219,75412.12060546875,71895.77911376953,409.27777099609375,17026772992,10317840384,6692777984,0
199,1743035603011,2904,2904,2904,2904,2904,2904,15.459190368652344,14.776710510253906,6.371498107910156,4.67694091796875,19.145462036132813,86.34255981445313,6411.700866699219,75415.88330078125,71899.44079589844,409.27777099609375,17026772992,10317840384,6686482432,0
200,1743035603211,2904,2904,2904,2904,2904,2904,1.7350692749023438,5.323150634765625,0.8499221801757813,1.1965713500976563,92.1926040649414,10.684471130371094,6411.8492431640625,75418.91607666016,71902.39031982422,409.27777099609375,17026772992,10317840384,6686609408,0
200,1743035603411,2904,2904,2904,2904,2904,2904,3.351806640625,20.950881958007813,1.782135009765625,44.26604461669922,20.285537719726563,23.701248168945313,6412.0421142578125,75421.99157714844,71905.37518310547,409.28094482421875,17026772992,10317840384,6685671424,0
200,1743035603612,2904,2904,2904,2904,2904,2904,7.000251770019531,5.5791778564453125,1.9334335327148438,38.10057830810547,1.3108901977539063,62.83223342895508,6412.2293701171875,75425.15380859375,71908.45678710938,409.28094482421875,17026772992,10317840384,6703255552,0
200,1743035603812,2904,2904,2904,2904,2904,2904,55.76128387451172,5.609619140625,4.702583312988281,3.171966552734375,4.15911865234375,42.351768493652344,6412.402648925781,75428.5523071289,71911.74084472656,409.28369140625,17026772992,10317840384,6714359808,0
200,1743035604013,2904,2904,2904,2904,2904,2904,14.611984252929688,7.575889587402344,6.4690704345703125,8.976371765136719,6.743682861328125,75.5219955444336,6412.584289550781,75432.07006835938,71915.17932128906,409.28369140625,17026772992,10317840384,6727499776,0
200,1743035604213,2904,2904,2904,2904,2904,2904,14.668540954589844,9.471115112304688,6.32550048828125,5.0312652587890625,6.6898040771484375,77.92350769042969,6412.8201904296875,75435.287109375,71918.29333496094,409.28369140625,17026772992,10317840384,6724313088,0
200,1743035604413,2904,2904,2904,2904,2904,2904,5.3184967041015625,4.155570983886719,2.2111282348632813,1.5563735961914063,1.6260223388671875,97.05131530761719,6412.9755859375,75438.57330322266,71921.47930908203,409.28466796875,17026772992,10317840384,6726287360,0
200,1743035604614,2904,2904,2904,2904,2904,2904,9.524307250976563,5.4319305419921875,1.5548477172851563,5.355339050292969,21.640853881835938,71.37835693359375,6413.1431884765625,75441.96704101563,71924.8017578125,409.28466796875,17026772992,10317840384,6722793472,0
200,1743035604814,2904,2904,2904,2904,2904,2904,12.70623779296875,8.204452514648438,2.5560073852539063,3.61566162109375,2.7190170288085938,85.95396423339844,6413.319274902344,75445.31140136719,71928.04779052734,409.28466796875,17026772992,10317840384,6739550208,0
200,1743035605015,2904,2904,2904,2904,2904,2904,5.87091064453125,6.226936340332031,3.3160629272460938,1.2648468017578125,0.7508392333984375,77.36961364746094,6413.484924316406,75448.03405761719,71930.6802368164,409.28814697265625,17026772992,10317840384,6747586560,0
200,1743035605215,2904,2904,2904,2904,2904,2904,68.63045501708984,4.709831237792969,2.488525390625,1.3185577392578125,0.42467498779296875,33.859962463378906,6413.637939453125,75451.3861694336,71933.93603515625,409.28814697265625,17026772992,10317840384,6747840512,0
199,1743035605416,2904,2904,2904,2904,2904,2904,9.682929992675781,7.2621612548828125,1.1630706787109375,44.78982925415039,1.2926483154296875,47.544132232666016,6413.811096191406,75454.68322753906,71937.15295410156,409.2900390625,17026772992,10317840384,6758858752,0
200,1743035605616,2904,2904,2904,2904,2904,2904,19.01910400390625,6.123291015625,2.9148101806640625,25.30048370361328,17.432235717773438,48.49916458129883,6414.000915527344,75458.12915039063,71940.49719238281,409.2958984375,17026772992,10317840384,6779027456,0
200,1743035605817,2904,2904,2904,2904,2904,2904,42.087806701660156,4.118171691894531,2.4854507446289063,3.1194076538085938,59.44533920288086,10.362541198730469,6414.1495361328125,75461.72454833984,71944.01275634766,409.2958984375,17026772992,10317840384,6784610304,0
200,1743035606017,2904,2904,2904,2904,2904,2904,18.07001495361328,7.764564514160156,2.4099960327148438,16.04279327392578,58.097869873046875,38.20569610595703,6414.324890136719,75465.69763183594,71947.8779296875,409.30279541015625,17026772992,10317840384,6805286912,0
199,1743035606218,2904,2904,2904,2904,2904,2904,41.83514404296875,4.4697723388671875,4.4311370849609375,50.66401672363281,11.289802551269531,5.896270751953125,6414.621520996094,75469.24462890625,71951.28820800781,409.30279541015625,17026772992,10317840384,6978387968,0
200,1743035606418,2904,2904,2904,2904,2904,2904,27.015396118164063,30.722747802734375,36.64563751220703,2.135833740234375,15.220832824707031,3.42266845703125,6414.8751220703125,75473.26696777344,71955.1918334961,409.30279541015625,17026772992,10317840384,7030542336,0
200,1743035606618,2904,2904,2904,2904,2904,2904,13.739776611328125,62.55548858642578,36.97873306274414,2.3866729736328125,1.0688323974609375,5.363861083984375,6415.159912109375,75476.52038574219,71958.32885742188,409.30279541015625,17026772992,10317840384,7196274688,0
200,1743035606818,2904,2904,2904,2904,2904,2904,10.4932861328125,5.9604949951171875,19.53569793701172,77.42054748535156,3.1539306640625,6.082359313964844,6415.444274902344,75479.86694335938,71961.52978515625,409.30279541015625,17026772992,10317840384,7244267520,0
200,1743035607018,2904,2904,2904,2904,2904,2904,3.7802658081054688,5.198280334472656,1.9791412353515625,23.819374084472656,77.46629333496094,3.1024093627929688,6415.727355957031,75483.48254394531,71965.01873779297,409.30584716796875,17026772992,10317840384,7417458688,0
200,1743035607219,2904,2904,2904,2904,2904,2904,2.7998809814453125,4.978721618652344,3.3598098754882813,1.5133285522460938,100,5.222587585449219,6416.0146484375,75486.97912597656,71968.39349365234,409.30584716796875,17026772992,10317840384,7560007680,0
199,1743035607419,2904,2904,2904,2904,2904,2904,2.3231887817382813,5.61297607421875,3.3989791870117188,1.8170242309570313,100,5.0507965087890625,6416.330505371094,75490.11993408203,71971.39654541016,409.30584716796875,17026772992,10317840384,7673565184,0
