Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743035629659,2904,2904,2904,2904,2904,2904,37.364837646484375,49.02153396606445,29.399124145507813,0,0,0,6436.532165527344,75649.89288330078,72120.39617919922,409.56695556640625,17026772992,10317840384,6438068224,0
199,1743035629659,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,6436.5379638671875,75649.97967529297,72120.47595214844,409.56695556640625,17026772992,10317840384,6437871616,0
200,1743035629859,2904,2904,2904,2904,2904,2904,15.462348937988281,83.11872863769531,11.8612060546875,7.6241302490234375,5.828910827636719,4.652366638183594,6436.726257324219,75653.14575195313,72123.55297851563,409.57061767578125,17026772992,10317840384,6465126400,0
200,1743035630060,2904,2904,2904,2904,2904,2904,19.353660583496094,70.34537506103516,11.015426635742188,8.265434265136719,42.89481735229492,26.75909423828125,6436.957702636719,75657.44140625,72127.74334716797,409.57061767578125,17026772992,10317840384,6485983232,0
200,1743035630260,2904,2904,2904,2904,2904,2904,16.18334197998047,81.5710220336914,9.3189697265625,6.062049865722656,8.194381713867188,3.8087387084960938,6437.150329589844,75660.9115600586,72131.1088256836,409.57061767578125,17026772992,10317840384,6498689024,0
199,1743035630461,2904,2904,2904,2904,2904,2904,22.959136962890625,72.94597625732422,10.631912231445313,3.9628677368164063,8.143051147460938,3.7713241577148438,6437.35205078125,75664.3706665039,72134.4818725586,409.57275390625,17026772992,10317840384,6516592640,0
200,1743035630661,2904,2904,2904,2904,2904,2904,9.752731323242188,61.934173583984375,36.08300018310547,4.318695068359375,5.390007019042969,4.123756408691406,6437.529846191406,75667.80169677734,72137.84033203125,409.57275390625,17026772992,10317840384,6527983616,0
200,1743035630861,2904,2904,2904,2904,2904,2904,85.0965576171875,73.89604187011719,67.85726928710938,57.0097541809082,58.977638244628906,58.36715316772461,6437.862609863281,75675.8833618164,72145.74340820313,409.5975341796875,17026772992,10317840384,6557483008,0
200,1743035631062,2904,2904,2904,2904,2904,2904,40.07337188720703,50.098899841308594,50.26891326904297,50.31989669799805,52.22142791748047,55.20594787597656,6438.168029785156,75682.8310546875,72152.56359863281,409.61358642578125,17026772992,10317840384,6564438016,0
199,1743035631262,2904,2904,2904,2904,2904,2904,23.603919982910156,73.15042877197266,5.777748107910156,4.350563049316406,9.881523132324219,3.4342498779296875,6438.3477783203125,75686.22357177734,72155.85046386719,409.6153564453125,17026772992,10317840384,6603046912,0
200,1743035631462,2904,2904,2904,2904,2904,2904,2.8795318603515625,48.31767272949219,43.06790542602539,1.75518798828125,0.9727859497070313,15.550811767578125,6438.515808105469,75689.63067626953,72159.16815185547,409.61773681640625,17026772992,10317840384,6624989184,0
200,1743035631662,2904,2904,2904,2904,2904,2904,6.775306701660156,20.719200134277344,6.203521728515625,4.422454833984375,36.889068603515625,47.51649856567383,6438.720520019531,75693.05841064453,72162.50421142578,409.61773681640625,17026772992,10317840384,6637948928,0
200,1743035631863,2904,2904,2904,2904,2904,2904,5.277885437011719,14.099754333496094,3.7128753662109375,3.277435302734375,1.8217086791992188,87.92013549804688,6438.91845703125,75696.38934326172,72165.74609375,409.61956787109375,17026772992,10317840384,6656561152,0
200,1743035632063,2904,2904,2904,2904,2904,2904,4.8199615478515625,18.75861358642578,6.989952087402344,6.42254638671875,3.7528152465820313,82.68557739257813,6439.106140136719,75699.94549560547,72169.1870727539,409.6240234375,17026772992,10317840384,6669881344,0
