Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743034919192,2904,2904,2904,2904,2904,2904,0,60.6721305847168,8.042320251464844,0,0,0,5722.61767578125,67276.24560546875,64125.135803222656,385.22613525390625,17026772992,10317840384,6360403968,0
200,1743034919192,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,5722.6209716796875,67276.2944946289,64125.19891357422,385.22613525390625,17026772992,10317840384,6360924160,0
200,1743034919393,2904,2904,2904,2904,2904,2904,9.100799560546875,39.61822509765625,10.209541320800781,7.321533203125,58.992984771728516,5.666786193847656,5722.808776855469,67279.42071533203,64128.22100830078,385.22613525390625,17026772992,10317840384,6388842496,0
199,1743034919593,2904,2904,2904,2904,2904,2904,18.60724639892578,38.092926025390625,18.306869506835938,27.58942413330078,7.033531188964844,3.2489242553710938,5723.003234863281,67282.7798461914,64131.479553222656,385.23004150390625,17026772992,10317840384,6410838016,0
200,1743034919793,2904,2904,2904,2904,2904,2904,17.63019561767578,75.56842041015625,18.327011108398438,10.644462585449219,6.8628997802734375,20.051361083984375,5723.2120361328125,67286.63934326172,64135.240966796875,385.23004150390625,17026772992,10317840384,6435536896,0
200,1743034919994,2904,2904,2904,2904,2904,2904,14.130752563476563,47.78719711303711,36.84861373901367,40.33740234375,14.002059936523438,11.404838562011719,5723.435241699219,67290.8046875,64139.31335449219,385.23004150390625,17026772992,10317840384,6442905600,0
200,1743034920194,2904,2904,2904,2904,2904,2904,5.641471862792969,7.209159851074219,16.240943908691406,5.042572021484375,85.57383728027344,4.070533752441406,5723.620361328125,67294.20959472656,64142.61486816406,385.23284912109375,17026772992,10317840384,6451302400,0
200,1743034920395,2904,2904,2904,2904,2904,2904,74.56378936767578,74.63230895996094,70.92894744873047,59.2762336730957,72.57738494873047,59.25538635253906,5723.954833984375,67302.36199951172,64150.63006591797,385.2510986328125,17026772992,10317840384,6481170432,0
200,1743034920595,2904,2904,2904,2904,2904,2904,49.763484954833984,60.49433135986328,36.3640251159668,26.916229248046875,23.392196655273438,37.13424301147461,5724.234313964844,67307.85626220703,64156.008056640625,385.26739501953125,17026772992,10317840384,6481559552,0
199,1743034920795,2904,2904,2904,2904,2904,2904,10.334724426269531,33.570098876953125,58.14687728881836,7.233894348144531,8.237472534179688,17.417831420898438,5724.4285888671875,67311.40344238281,64159.422790527344,385.27337646484375,17026772992,10317840384,6520655872,0
200,1743034920995,2904,2904,2904,2904,2904,2904,2.696563720703125,27.76158905029297,0.5885467529296875,3.6745758056640625,0.7250137329101563,77.1353530883789,5724.596862792969,67314.75891113281,64162.68933105469,385.27337646484375,17026772992,10317840384,6541156352,0
199,1743034921195,2904,2904,2904,2904,2904,2904,3.244873046875,20.40631103515625,12.40179443359375,3.280609130859375,40.32522201538086,35.909400939941406,5724.787780761719,67318.04528808594,64165.88684082031,385.27581787109375,17026772992,10317840384,6589616128,0
200,1743034921396,2904,2904,2904,2904,2904,2904,4.7610626220703125,15.499824523925781,4.3952484130859375,4.515220642089844,2.6664352416992188,87.70352172851563,5724.997985839844,67321.2924194336,64169.03436279297,385.27581787109375,17026772992,10317840384,6579445760,0
200,1743034921596,2904,2904,2904,2904,2904,2904,5.731605529785156,17.82183074951172,4.433631896972656,5.0474853515625,2.4647598266601563,82.256103515625,5725.183837890625,67324.66418457031,64172.322814941406,385.27960205078125,17026772992,10317840384,6594932736,0
200,1743034921797,2904,2904,2904,2904,2904,2904,8.145332336425781,15.819099426269531,3.9268035888671875,3.8740234375,1.9761962890625,82.9312744140625,5725.370056152344,67328.06048583984,64175.614196777344,385.28167724609375,17026772992,10317840384,6605606912,0
199,1743034921997,2904,2904,2904,2904,2904,2904,3.7440261840820313,11.001045227050781,1.12591552734375,4.899299621582031,1.0692825317382813,93.19126892089844,5725.541687011719,67331.23168945313,64178.70733642578,385.28167724609375,17026772992,10317840384,6620606464,0
200,1743034922197,2904,2904,2904,2904,2904,2904,2.4404830932617188,4.150978088378906,2.9715347290039063,1.34100341796875,0.3582000732421875,100,5725.693176269531,67334.21221923828,64181.57971191406,385.28289794921875,17026772992,10317840384,6620536832,0
200,1743034922397,2904,2904,2904,2904,2904,2904,2.047210693359375,5.797111511230469,0.6112518310546875,1.75250244140625,1.3424224853515625,99.8554916381836,5725.880554199219,67337.20874023438,64184.48767089844,385.28289794921875,17026772992,10317840384,6619492352,0
200,1743034922598,2904,2904,2904,2904,2904,2904,1.9272384643554688,6.2638702392578125,2.7853469848632813,1.8336715698242188,0.915863037109375,98.80528259277344,5726.06201171875,67340.28088378906,64187.47918701172,385.28289794921875,17026772992,10317840384,6631759872,0
200,1743034922798,2904,2904,2904,2904,2904,2904,6.4793243408203125,15.578659057617188,4.7669219970703125,3.7832183837890625,2.6866302490234375,86.96784973144531,5726.238464355469,67343.70935058594,64190.80059814453,385.28619384765625,17026772992,10317840384,6629486592,0
200,1743034922998,2904,2904,2904,2904,2904,2904,10.519699096679688,17.89813232421875,35.932273864746094,9.649543762207031,5.296012878417969,81.37137603759766,5726.439636230469,67347.8197631836,64194.82177734375,385.28619384765625,17026772992,10317840384,6634242048,0
200,1743034923199,2904,2904,2904,2904,2904,2904,3.6418304443359375,14.307792663574219,10.399551391601563,3.7235565185546875,2.0520248413085938,83.37610626220703,5726.671875,67350.9349975586,64197.84436035156,385.28619384765625,17026772992,10317840384,6637699072,0
200,1743034923400,2904,2904,2904,2904,2904,2904,1.3537368774414063,39.014892578125,2.65936279296875,2.2144775390625,17.12096405029297,47.658592224121094,5726.825378417969,67354.28155517578,64201.08898925781,385.288818359375,17026772992,10317840384,6639710208,0
