Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743035565661,2904,2904,2904,2904,2904,2904,61.61988067626953,75.30076599121094,47.07713317871094,31.959571838378906,39.23272705078125,39.62662124633789,6376.771057128906,75056.10803222656,71557.91564941406,408.825927734375,17026772992,10317840384,6457040896,0
200,1743035565661,2904,2904,2904,2904,2904,2904,100,100,100,100,100,100,6376.7767333984375,75056.18237304688,71557.98321533203,408.825927734375,17026772992,10317840384,6457249792,0
199,1743035565862,2904,2904,2904,2904,2904,2904,12.582183837890625,79.05155181884766,11.252754211425781,6.498863220214844,5.2229766845703125,5.822746276855469,6376.963134765625,75059.38848876953,71561.11029052734,408.825927734375,17026772992,10317840384,6484140032,0
199,1743035566061,2904,2904,2904,2904,2904,2904,16.439285278320313,69.88726806640625,13.845245361328125,10.461128234863281,8.064476013183594,24.487457275390625,6377.177917480469,75063.1640625,71564.77459716797,408.825927734375,17026772992,10317840384,6499037184,0
200,1743035566262,2904,2904,2904,2904,2904,2904,18.600723266601563,78.3775405883789,16.865402221679688,3.198760986328125,3.94384765625,8.279685974121094,6377.377258300781,75066.7280883789,71568.24584960938,408.82952880859375,17026772992,10317840384,6524055552,0
200,1743035566462,2904,2904,2904,2904,2904,2904,22.175132751464844,74.02824401855469,14.830642700195313,3.9475326538085938,2.5674591064453125,3.87872314453125,6377.577880859375,75070.1884765625,71571.61248779297,408.82952880859375,17026772992,10317840384,6538137600,0
200,1743035566662,2904,2904,2904,2904,2904,2904,7.065818786621094,92.85951232910156,12.463813781738281,2.5648269653320313,2.7693939208984375,4.25323486328125,6377.756286621094,75073.65991210938,71574.99536132813,408.82952880859375,17026772992,10317840384,6558433280,0
199,1743035566862,2904,2904,2904,2904,2904,2904,75.30876922607422,80.52012634277344,66.18930053710938,60.65691375732422,72.82642364501953,65.8183364868164,6378.098449707031,75082.1362915039,71583.31518554688,408.85064697265625,17026772992,10317840384,6580695040,0
199,1743035567062,2904,2904,2904,2904,2904,2904,45.8438606262207,74.64351654052734,28.998703002929688,32.615333557128906,41.84737777709961,50.578651428222656,6378.3936767578125,75088.39819335938,71589.4380493164,408.86456298828125,17026772992,10317840384,6588989440,0
200,1743035567262,2904,2904,2904,2904,2904,2904,10.049171447753906,38.205108642578125,59.08469009399414,3.84423828125,4.9434967041015625,3.7042465209960938,6378.5753173828125,75091.86962890625,71592.81518554688,408.86883544921875,17026772992,10317840384,6630617088,0
200,1743035567463,2904,2904,2904,2904,2904,2904,18.638465881347656,46.79169845581055,16.414756774902344,25.743309020996094,32.25267028808594,3.7524948120117188,6378.7655029296875,75095.70013427734,71596.58233642578,408.86883544921875,17026772992,10317840384,6627557376,0
200,1743035567663,2904,2904,2904,2904,2904,2904,16.45331573486328,50.17083740234375,9.793647766113281,3.866424560546875,8.344657897949219,45.18523025512695,6378.9620361328125,75099.31799316406,71600.07958984375,408.86883544921875,17026772992,10317840384,6671671296,0
200,1743035567864,2904,2904,2904,2904,2904,2904,8.547950744628906,10.232086181640625,5.036956787109375,6.0085296630859375,1.7734451293945313,85.39376068115234,6379.168029785156,75102.60150146484,71603.26867675781,408.87091064453125,17026772992,10317840384,6678663168,0
200,1743035568064,2904,2904,2904,2904,2904,2904,6.3902130126953125,19.58550262451172,5.9003448486328125,2.3377456665039063,3.9052505493164063,81.90216064453125,6379.356201171875,75106.12170410156,71606.68432617188,408.87335205078125,17026772992,10317840384,6699986944,0
200,1743035568265,2904,2904,2904,2904,2904,2904,6.651817321777344,16.834983825683594,4.4130096435546875,5.504341125488281,2.9917831420898438,82.85926055908203,6379.543212890625,75109.57141113281,71610.05163574219,408.87408447265625,17026772992,10317840384,6696153088,0
200,1743035568465,2904,2904,2904,2904,2904,2904,4.9817657470703125,8.83905029296875,2.2715072631835938,3.9992141723632813,1.9744949340820313,94.54105377197266,6379.712646484375,75112.78881835938,71613.18017578125,408.8756103515625,17026772992,10317840384,6713131008,0
200,1743035568666,2904,2904,2904,2904,2904,2904,4.208442687988281,3.9691238403320313,1.4934616088867188,1.915679931640625,1.6626968383789063,100,6379.864562988281,75115.84851074219,71616.14471435547,408.8756103515625,17026772992,10317840384,6713049088,0
200,1743035568866,2904,2904,2904,2904,2904,2904,5.179534912109375,6.426124572753906,3.8611373901367188,17.757476806640625,33.31531524658203,56.194976806640625,6380.074951171875,75119.0751953125,71619.27746582031,408.87969970703125,17026772992,10317840384,6697844736,0
200,1743035569066,2904,2904,2904,2904,2904,2904,3.5718154907226563,6.594306945800781,3.856842041015625,24.49175262451172,1.5147933959960938,75.705078125,6380.2493896484375,75122.31414794922,71622.42901611328,408.87969970703125,17026772992,10317840384,6712684544,0
